Date,State0,State,DateT,Time,Value
18.01.2023,UA,RO,1/17/2023,23:00,352
18.01.2023,UA,RO,1/17/2023,23:00,0
18.01.2023,UA,RO,1/18/2023,0:00,353
18.01.2023,UA,RO,1/18/2023,0:00,0
18.01.2023,UA,RO,1/18/2023,1:00,364
18.01.2023,UA,RO,1/18/2023,1:00,0
18.01.2023,UA,RO,1/18/2023,2:00,345
18.01.2023,UA,RO,1/18/2023,2:00,0
18.01.2023,UA,RO,1/18/2023,4:00,270
18.01.2023,UA,RO,1/18/2023,4:00,0
18.01.2023,UA,RO,1/18/2023,5:00,290
18.01.2023,UA,RO,1/18/2023,5:00,0
18.01.2023,UA,RO,1/18/2023,6:00,374
18.01.2023,UA,RO,1/18/2023,6:00,0
18.01.2023,UA,RO,1/18/2023,7:00,342
18.01.2023,UA,RO,1/18/2023,7:00,0
18.01.2023,UA,RO,1/18/2023,8:00,403
18.01.2023,UA,RO,1/18/2023,8:00,0
18.01.2023,UA,RO,1/18/2023,9:00,515
18.01.2023,UA,RO,1/18/2023,9:00,0
18.01.2023,UA,RO,1/18/2023,10:00,466
18.01.2023,UA,RO,1/18/2023,10:00,0
18.01.2023,UA,RO,1/18/2023,11:00,462
18.01.2023,UA,RO,1/18/2023,11:00,0
18.01.2023,UA,RO,1/18/2023,12:00,465
18.01.2023,UA,RO,1/18/2023,12:00,0
18.01.2023,UA,RO,1/18/2023,13:00,436
18.01.2023,UA,RO,1/18/2023,13:00,0
18.01.2023,UA,RO,1/18/2023,14:00,412
18.01.2023,UA,RO,1/18/2023,14:00,0
18.01.2023,UA,RO,1/18/2023,15:00,333
18.01.2023,UA,RO,1/18/2023,15:00,0
18.01.2023,UA,RO,1/18/2023,16:00,203
18.01.2023,UA,RO,1/18/2023,16:00,0
18.01.2023,UA,RO,1/18/2023,17:00,288
18.01.2023,UA,RO,1/18/2023,17:00,0
18.01.2023,UA,RO,1/18/2023,18:00,316
18.01.2023,UA,RO,1/18/2023,18:00,0
18.01.2023,UA,RO,1/18/2023,19:00,358
18.01.2023,UA,RO,1/18/2023,19:00,0
18.01.2023,UA,RO,1/18/2023,20:00,336
18.01.2023,UA,RO,1/18/2023,20:00,0
18.01.2023,UA,RO,1/18/2023,21:00,306
18.01.2023,UA,RO,1/18/2023,21:00,0
18.01.2023,UA,RO,1/18/2023,22:00,325
18.01.2023,UA,RO,1/18/2023,22:00,0
18.01.2023,UA,SK,1/17/2023,23:00,0
18.01.2023,UA,SK,1/17/2023,23:00,-249
18.01.2023,UA,SK,1/18/2023,0:00,0
18.01.2023,UA,SK,1/18/2023,0:00,-305
18.01.2023,UA,SK,1/18/2023,1:00,0
18.01.2023,UA,SK,1/18/2023,1:00,-330
18.01.2023,UA,SK,1/18/2023,2:00,0
18.01.2023,UA,SK,1/18/2023,2:00,-322
18.01.2023,UA,SK,1/18/2023,3:00,0
18.01.2023,UA,SK,1/18/2023,3:00,-261
18.01.2023,UA,SK,1/18/2023,4:00,0
18.01.2023,UA,SK,1/18/2023,4:00,-222
18.01.2023,UA,SK,1/18/2023,5:00,0
18.01.2023,UA,SK,1/18/2023,5:00,-192
18.01.2023,UA,SK,1/18/2023,6:00,0
